case_id,title,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,source
DHCP-002,Missing IP helper-address on the relay interface,Hosts on VLAN 20 never receive a DHCP address. The DHCP server on VLAN 10 works for local VLAN 10 PCs.,Central DHCP server 192.168.10.5. MLS1 SVI VLAN 20 is 192.168.20.1/24. Clients on S2 access VLAN 20. DHCP server lives on VLAN 10.,"PC5> ipconfig
IP Address......................: 169.254.2.88
Subnet Mask.....................: 255.255.0.0
Default Gateway.................: 0.0.0.0

MLS1# show running-config interface vlan 20
interface Vlan20
 ip address 192.168.20.1 255.255.255.0
 no ip helper-address

MLS1# show running-config interface vlan 10
interface Vlan10
 ip address 192.168.10.1 255.255.255.0

DHCP_SERVER> ipconfig
IP Address......................: 192.168.10.5
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.10.1

MLS1# show ip dhcp snooping
DHCP Snooping is disabled","SVI VLAN 20 has no ip helper-address, so DHCP discovers from VLAN 20 never reach the server at 192.168.10.5.",L3,dhcp,high,packet_tracer
DHCP-003,DHCP interface is down so no offers are sent,"All wireless and wired guests report limited connectivity. The DHCP router has a pool configured, but no leases appear.",R7 G0/1 is the guest LAN 192.168.80.1/24 and the DHCP source interface. G0/1 was shut during a cable swap and never reopened.,"PC6> ipconfig
IP Address......................: 169.254.77.4
Subnet Mask.....................: 255.255.0.0
Default Gateway.................: 0.0.0.0

R7# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.0.0.2        YES manual up                    up
GigabitEthernet0/1     192.168.80.1    YES manual administratively down down

R7# show ip dhcp pool GUEST
Pool GUEST :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 254
 Leased addresses               : 0
 Pending event                  : none
 1 subnet is currently in the pool :
 Current index        IP address range                    Leased
 192.168.80.1         192.168.80.1    - 192.168.80.254     0","DHCP server interface G0/1 is administratively down, so the 192.168.80.0/24 pool has no live L3 interface and offers are never sent.",L2,dhcp,critical,packet_tracer
DHCP-004,Client in the wrong VLAN gets no DHCP offer,A replacement PC on the Finance desk stays at 169.254.x.x. Neighboring Finance PCs get 192.168.70.0/24 addresses normally.,Finance VLAN 70. S8 Fa0/12 is the desk drop. DHCP pool FINANCE is on R8 interface VLAN 70 / G0/0.70. Port Fa0/12 was left in VLAN 1 after a patch.,"PC7> ipconfig
IP Address......................: 169.254.19.63
Subnet Mask.....................: 255.255.0.0
Default Gateway.................: 0.0.0.0

S8# show interfaces fa0/12 switchport
Name: Fa0/12
Administrative Mode: static access
Access Mode VLAN: 1 (default)

S8# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/12, Fa0/13
70   FINANCE                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4

R8# show ip dhcp binding
IP address       Client-ID/              Lease expiration        Type
192.168.70.11    00E0.F70A.0001          Feb 02 2026 10:11 AM    Automatic
192.168.70.12    00E0.F70A.0002          Feb 02 2026 10:14 AM    Automatic","The replacement PC is on access VLAN 1, so its DHCP discovers never reach the Finance pool on VLAN 70.",L2,dhcp,medium,packet_tracer
DNS-001,Client DNS server is unreachable,"Users can ping 192.168.30.10 and browse by IP, but hostnames such as files.lab.local fail to resolve.","Internal DNS is 192.168.30.5. PC8 is on VLAN 10 with gateway 192.168.10.1. Someone set the NIC DNS field to 8.8.8.8, which this lab has no route to.","PC8> ipconfig /all
IP Address......................: 192.168.10.18
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.10.1
DNS Servers.....................: 8.8.8.8

PC8> ping 192.168.30.10
Reply from 192.168.30.10: bytes=32 time=2ms TTL=254

PC8> ping files.lab.local
Ping request could not find host files.lab.local.

PC8> ping 8.8.8.8
Request timed out.

R1# show ip route
C    192.168.10.0/24 is directly connected, GigabitEthernet0/0.10
C    192.168.30.0/24 is directly connected, GigabitEthernet0/0.30","The client DNS server 8.8.8.8 is unreachable, so name resolution fails even though IP connectivity to the internal server is healthy.",L7,dns,medium,packet_tracer
DNS-002,DHCP pool does not hand out a DNS server,New DHCP clients can ping gateways and IP addresses but every browser URL fails. Statically configured PCs on the same VLAN work.,R9 DHCP pool CAMPUS issues 192.168.90.0/24 and default-router 192.168.90.1. The dns-server line was omitted after a pool rebuild.,"PC9> ipconfig /all
IP Address......................: 192.168.90.44
Subnet Mask.....................: 255.255.255.0
Default Gateway.................: 192.168.90.1
DNS Servers.....................:

PC9> ping 192.168.90.1
Reply from 192.168.90.1: bytes=32 time=1ms TTL=255

PC9> ping www.lab.local
Ping request could not find host www.lab.local.

R9# show running-config | section dhcp
ip dhcp excluded-address 192.168.90.1 192.168.90.10
ip dhcp pool CAMPUS
 network 192.168.90.0 255.255.255.0
 default-router 192.168.90.1

STATIC_PC> ipconfig /all
IP Address......................: 192.168.90.8
DNS Servers.....................: 192.168.90.5","The CAMPUS DHCP pool has no dns-server option, so DHCP clients receive a valid IP and gateway but an empty resolver list.",L7,dns,medium,packet_tracer
DNS-003,Wrong A record: name resolves to a dead address,http://app.lab.local fails. ping app.lab.local returns 192.168.30.99 which does not answer. Browsing to 192.168.30.10 works.,Web server is 192.168.30.10. DNS server 192.168.30.5 has zone lab.local. The A record for app was left pointing at a retired host.,"PC10> ipconfig /all
DNS Servers.....................: 192.168.30.5
IP Address......................: 192.168.10.21
Default Gateway.................: 192.168.10.1

PC10> ping app.lab.local
Pinging app.lab.local [192.168.30.99] with 32 bytes of data:
Request timed out.

PC10> ping 192.168.30.10
Reply from 192.168.30.10: bytes=32 time=1ms TTL=254

DNS_SERVER# show hosts
Default domain is lab.local
Name/address lookup uses domain service
app.lab.local  -->  192.168.30.99
www.lab.local  -->  192.168.30.10","DNS A record app.lab.local points to 192.168.30.99 instead of the live web server 192.168.30.10, so the name resolves but the target is dead.",L7,dns,low,packet_tracer
DNS-004,ACL blocks UDP/TCP 53 to the DNS server,"After a 'security hardening' change, name lookups fail from VLAN 10 while direct IP pings to 192.168.30.5 still succeed.",R1 SVI VLAN 10 has inbound ACL HARDEN. DNS server is 192.168.30.5. HTTP to 192.168.30.10 still works by IP.,"PC11> ping 192.168.30.5
Reply from 192.168.30.5: bytes=32 time=1ms TTL=254

PC11> nslookup files.lab.local
DNS request timed out.

R1# show ip interface g0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Internet address is 192.168.10.1/24
  Outgoing access list is not set
  Inbound  access list is HARDEN

R1# show access-lists HARDEN
Extended IP access list HARDEN
    10 permit icmp any any
    20 permit tcp any 192.168.30.0 0.0.0.255 eq 80
    30 deny udp any 192.168.30.5 0.0.0.0 eq 53
    40 deny tcp any 192.168.30.5 0.0.0.0 eq 53
    50 permit ip any any","ACL HARDEN explicitly denies DNS (tcp/udp 53) to 192.168.30.5, so ICMP and HTTP by IP work while hostname resolution times out.",L4,dns,high,packet_tracer
RT-001,Missing static route to the remote LAN,"PC on 192.168.10.0/24 pings its local gateway and the WAN serial next hop, but cannot reach 192.168.200.10 behind R2.","R1 G0/0 192.168.10.1/24, S0/0/0 10.1.1.1/30. R2 S0/0/0 10.1.1.2/30, G0/0 192.168.200.1/24. Only R2 has a static for 192.168.10.0/24.","PC12> ping 192.168.10.1
Reply from 192.168.10.1: bytes=32 time=1ms TTL=255

PC12> ping 10.1.1.2
Reply from 10.1.1.2: bytes=32 time=8ms TTL=254

PC12> ping 192.168.200.10
Request timed out.

R1# show ip route
Codes: C - connected, S - static, R - RIP
     10.0.0.0/30 is subnetted, 1 subnets
C       10.1.1.0 is directly connected, Serial0/0/0
C    192.168.10.0/24 is directly connected, GigabitEthernet0/0

R2# show ip route
C    10.1.1.0/30 is directly connected, Serial0/0/0
C    192.168.200.0/24 is directly connected, GigabitEthernet0/0
S    192.168.10.0/24 [1/0] via 10.1.1.1","R1 has no route to 192.168.200.0/24, so packets toward the remote LAN are dropped even though the serial link and return route exist.",L3,routing,high,packet_tracer
RT-002,Static route uses the wrong next hop,A new static route was added for 172.16.5.0/24 but traceroute from HQ hops to the wrong branch router and then dies.,HQ-RTR has two serials: S0/0/0 to BR1 10.2.2.2 and S0/0/1 to BR2 10.3.3.2. Subnet 172.16.5.0/24 lives only behind BR2.,"HQ-RTR# show ip route 172.16.5.0
Routing entry for 172.16.5.0/24
  Known via ""static"", distance 1, metric 0
  Routing Descriptor Blocks:
  * 10.2.2.2
      Route metric is 0, traffic share count is 1

HQ-RTR# show running-config | include ip route
ip route 172.16.5.0 255.255.255.0 10.2.2.2
ip route 0.0.0.0 0.0.0.0 10.9.9.2

HQ-RTR# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
Serial0/0/0            10.2.2.1        YES manual up                    up
Serial0/0/1            10.3.3.1        YES manual up                    up

BR2# show ip interface brief
GigabitEthernet0/0     172.16.5.1      YES manual up                    up
Serial0/0/0            10.3.3.2        YES manual up                    up","The static route for 172.16.5.0/24 points at 10.2.2.2 (BR1) instead of 10.3.3.2 (BR2), so traffic is forwarded to a router that does not own the LAN.",L3,routing,high,packet_tracer
RT-003,OSPF missing network statement for the LAN,Remote sites can ping R10's WAN address 10.8.8.1 but cannot reach the LAN 192.168.110.0/24 behind it.,"R10 G0/0 192.168.110.1/24, S0/0/0 10.8.8.1/30 in OSPF area 0. Neighbor R11 is FULL. Only the serial network was advertised.","R10# show ip ospf neighbor
Neighbor ID     Pri   State           Dead Time   Address         Interface
11.11.11.11       0   FULL/  -        00:00:35    10.8.8.2        Serial0/0/0

R10# show ip ospf interface brief
Interface    PID   Area            IP Address/Mask    Cost  State Nbrs F/C
Se0/0/0      1     0               10.8.8.1/30        64    P2P   1/1

R10# show running-config | section router ospf
router ospf 1
 router-id 10.10.10.10
 network 10.8.8.0 0.0.0.3 area 0

R11# show ip route ospf
R11#","OSPF on R10 does not advertise 192.168.110.0/24 (missing network statement or interface in OSPF), so neighbors have no route to the LAN.",L3,routing,high,packet_tracer
RT-004,Default route missing on the edge router,Campus users reach internal servers but cannot reach any Internet address. The ISP serial is up and the ISP can ping the edge WAN IP.,"EDGE G0/0 campus 10.10.0.1/16, S0/0/0 203.0.113.2/30 to ISP 203.0.113.1. NAT is not yet in scope; this lab only tests IPv4 routing to 8.8.8.8 via ISP.","EDGE# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.10.0.1       YES manual up                    up
Serial0/0/0            203.0.113.2     YES manual up                    up

EDGE# show ip route
C    10.10.0.0/16 is directly connected, GigabitEthernet0/0
     203.0.113.0/30 is subnetted, 1 subnets
C       203.0.113.0 is directly connected, Serial0/0/0

PC13> ping 10.10.0.1
Reply from 10.10.0.1: bytes=32 time=1ms TTL=255

PC13> ping 8.8.8.8
Request timed out.

ISP# ping 203.0.113.2
Reply from 203.0.113.2: bytes=32 time=4ms TTL=255","EDGE has no default route toward 203.0.113.1, so unknown destinations including 8.8.8.8 are not forwarded to the ISP.",L3,routing,critical,packet_tracer
RT-005,RIP version mismatch stops route exchange,"Two-router RIP lab: each LAN is reachable locally, but neither router learns the remote LAN. Interfaces are up.","R12 G0/0 192.168.1.1/24, S0/0/0 10.12.12.1/30 running RIPv2. R13 G0/0 192.168.2.1/24, S0/0/0 10.12.12.2/30 left at RIP version 1.","R12# show ip protocols
Routing Protocol is ""rip""
  Sending updates every 30 seconds
  Default version control: send version 2, receive version 2
  Interface           Send  Recv  Triggered RIP  Key-chain
  Serial0/0/0         2     2
  Automatic network summarization is in effect
  Maximum path: 4
  Routing for Networks:
    10.0.0.0
    192.168.1.0

R13# show ip protocols
Routing Protocol is ""rip""
  Default version control: send version 1, receive version 1
  Interface           Send  Recv  Triggered RIP  Key-chain
  Serial0/0/0         1     1
  Routing for Networks:
    10.0.0.0
    192.168.2.0

R12# show ip route rip
R12#
R13# show ip route rip
R13#","R12 sends/receives RIPv2 while R13 is locked to RIPv1, so RIP routes are ignored and each LAN stays local-only.",L3,routing,medium,packet_tracer
ACL-001,ACL denies the server subnet on the user SVI,"PC gets an IP and pings the VLAN 10 gateway, but cannot reach the server in VLAN 30. Other VLAN 30 hosts are also unreachable.",R1 G0/0.10 192.168.10.1 with inbound ACL BLOCK_SERVER. Server0 is 192.168.30.10. This matches the VIP worked example pattern.,"PC14> ping 192.168.10.1
Reply from 192.168.10.1: bytes=32 time=1ms TTL=255

PC14> ping 192.168.30.10
Request timed out.

R1# show ip interface g0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Internet address is 192.168.10.1/24
  Inbound  access list is BLOCK_SERVER

R1# show access-lists BLOCK_SERVER
Extended IP access list BLOCK_SERVER
    10 deny ip any 192.168.30.0 0.0.0.255
    20 permit ip any any
    10 matches

R1# show ip route
C    192.168.10.0/24 is directly connected, GigabitEthernet0/0.10
C    192.168.30.0/24 is directly connected, GigabitEthernet0/0.30","Inbound ACL BLOCK_SERVER on the user subinterface denies all IP to 192.168.30.0/24, which is an inter-VLAN ACL fault at Layer 3/4.",L3,acl,high,packet_tracer
ACL-002,ACL applied in the wrong direction,"Engineers applied an ACL meant to stop inbound probes from the WAN, but campus users can no longer initiate SSH to the jump host, while inbound WAN pings still arrive.",EDGE G0/1 is the campus LAN. ACL WAN_FILTER should be inbound on S0/0/0. It was mistakenly applied outbound on G0/1.,"EDGE# show ip interface g0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet address is 10.20.0.1/16
  Outgoing access list is WAN_FILTER
  Inbound  access list is not set

EDGE# show ip interface s0/0/0
Serial0/0/0 is up, line protocol is up
  Internet address is 198.51.100.2/30
  Outgoing access list is not set
  Inbound  access list is not set

EDGE# show access-lists WAN_FILTER
Extended IP access list WAN_FILTER
    10 permit tcp any 10.20.0.0 0.0.255.255 established
    20 deny tcp any 10.20.0.50 0.0.0.0 eq 22
    30 permit ip any any","WAN_FILTER is applied outbound on the LAN interface instead of inbound on the WAN, so legitimate outbound SSH from campus hits the deny.",L4,acl,high,packet_tracer
ACL-003,Implicit deny drops return traffic,A permit-only-www ACL was added inbound on the WAN. Users can no longer receive any replies except HTTP. Ping and DNS break.,EDGE S0/0/0 inbound ACL WEB_ONLY permits tcp eq 80 to the inside. No established/permit icmp/permit udp 53 lines were added.,"EDGE# show ip interface s0/0/0
Serial0/0/0 is up, line protocol is up
  Inbound  access list is WEB_ONLY

EDGE# show access-lists WEB_ONLY
Extended IP access list WEB_ONLY
    10 permit tcp any 10.20.0.0 0.0.255.255 eq 80
    10 matches

PC15> ping 8.8.8.8
Request timed out.

PC15> nslookup cisco.com
DNS request timed out.","ACL WEB_ONLY permits only inbound HTTP and then implicit deny drops ICMP, DNS, and TCP established return traffic.",L4,acl,critical,packet_tracer
ACL-004,Guest VLAN can reach an internal server,Guest Wi-Fi users can open the finance file server 192.168.30.10. Guest isolation was supposed to allow Internet only.,Guest VLAN 90 192.168.90.0/24 on R1 G0/0.90. Internal servers are VLAN 30. ACL GUEST_ISOLATE is missing or permits ip any any too early. VIP example.,"GUEST_PC> ping 192.168.30.10
Reply from 192.168.30.10: bytes=32 time=2ms TTL=254

GUEST_PC> ipconfig
IP Address......................: 192.168.90.44
Default Gateway.................: 192.168.90.1

R1# show ip interface g0/0.90
GigabitEthernet0/0.90 is up, line protocol is up
  Internet address is 192.168.90.1/24
  Inbound  access list is GUEST_ISOLATE

R1# show access-lists GUEST_ISOLATE
Extended IP access list GUEST_ISOLATE
    10 permit ip any any

R1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
30   SERVERS                          active
90   GUEST                            active","Guest isolation failed: ACL GUEST_ISOLATE permits ip any any, so the guest VLAN can reach internal server 192.168.30.10.",L3,acl,critical,packet_tracer
ACL-005,Wrong port in ACL blocks HTTPS instead of HTTP,"The security policy was to block inbound HTTP to the public web VIP while leaving HTTPS up. After the change, HTTPS died and HTTP still answers.",EDGE inbound ACL on G0/0 to host 203.0.113.10. Intended deny tcp eq 80. Line 10 was written as eq 443.,"EDGE# show access-lists PUBLIC_WEB
Extended IP access list PUBLIC_WEB
    10 deny tcp any host 203.0.113.10 eq 443
    20 permit ip any any

EDGE# show ip interface g0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 203.0.113.1/28
  Inbound  access list is PUBLIC_WEB

ADMIN_PC> ping 203.0.113.10
Reply from 203.0.113.10: bytes=32 time=1ms TTL=64","ACL PUBLIC_WEB denies TCP 443 instead of TCP 80, so HTTPS is blocked and cleartext HTTP remains reachable.",L4,acl,medium,packet_tracer
NAT-001,NAT inside and outside interfaces not marked,"Inside hosts can ping the edge LAN and the public WAN address of the router, but Internet destinations fail. show ip nat translations is empty.","NAT-R G0/0 inside 192.168.10.1/24, S0/0/0 outside 203.0.113.2/30. overload list NAT_ACL exists but ip nat inside/outside is missing.","NAT-R# show ip nat translations
NAT-R#

NAT-R# show running-config | include nat
ip nat pool WEB 203.0.113.2 203.0.113.2 netmask 255.255.255.252
ip nat inside source list NAT_ACL interface Serial0/0/0 overload
ip access-list standard NAT_ACL
 permit 192.168.10.0 0.0.0.255

NAT-R# show ip interface g0/0
GigabitEthernet0/0 is up, line protocol is up
  Internet address is 192.168.10.1/24

NAT-R# show ip interface s0/0/0
Serial0/0/0 is up, line protocol is up
  Internet address is 203.0.113.2/30

PC16> ping 8.8.8.8
Request timed out.","NAT rule exists but interfaces are not marked ip nat inside / ip nat outside, so no translations are created.",L3,nat,high,packet_tracer
